global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
52,9261.765318,6.311e-74,24831.5679,0.0094,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9263.255399,1.435e-64,19870.472,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9268.624374,4.26e-43,9708.7091,0.0094,0.5,0.06,3,5,2,2,5,607,1592,700,393,702
52,9269.56805,8.693e-74,24130.8038,0.0094,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9273.039889,5.56e-48,12587.1,0.0105,0.5,0.07,2,5,2,2,5,607,1592,700,393,702
52,9277.660499,2.431e-55,16073.9649,0.0093,0.5,0.06,3,5,2,2,5,607,1592,700,393,702
52,9280.501405,2.196e-65,20126.6482,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9281.387909,1.583e-66,21446.9693,0.0094,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9281.816251,2.532e-77,25728.1949,0.0105,0.5,0.07,2,5,2,2,3,607,1592,700,393,702
52,9289.287334,8.321e-46,10922.8268,0.0974,0.74,0.202,2,5,2,2,5,607,1592,700,393,702
52,9289.438631,1.559e-47,12351.3808,0.0112,0.5,0.07,2,5,2,2,5,607,1592,700,393,702
52,9291.18363,2.445e-81,27255.3226,0.0093,0.5,0.06,2,5,2,2,3,607,1592,700,393,702
52,9294.262083,3.281e-77,25571.8093,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9300.548043,6.512e-63,19322.0356,0.0124,0.5,0.08,2,5,2,2,5,607,1592,700,393,702
52,9302.920538,1.565e-45,10941.2968,0.0864,0.76,0.206,2,5,2,2,5,607,1592,700,393,702
52,9303.267341,3.996e-47,12133.1941,0.0123,0.5,0.08,2,5,2,2,5,607,1592,700,393,702
52,9303.592456,5.638e-43,9821.8419,0.0124,0.5,0.08,2,5,2,2,5,607,1592,700,393,702
52,9306.100535,9.593e-75,24475.9546,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9308.436868,1.582e-51,14332.6746,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9310.343813,2.084e-72,23639.3654,0.0112,0.5,0.07,2,5,2,2,5,607,1592,700,393,702
52,9310.565019,1.29e-68,22455.382,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,9311.915631,1.933e-75,25586.4089,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
