Wavelength (μm),Transmission
3.504932e+1,5.291621e-1
3.548495e+1,2.177743e-2
3.592600e+1,4.025890e-5
3.637253e+1,4.508398e-1
3.682460e+1,6.986784e-1
3.728230e+1,5.411297e-1
3.774568e+1,4.704705e-1
3.821483e+1,7.933836e-1
3.868980e+1,5.753525e-1
3.917068e+1,5.334247e-4
3.965754e+1,4.495133e-2
4.015045e+1,3.261594e-3
4.064948e+1,7.546893e-3
4.115472e+1,5.026992e-1
4.166623e+1,7.794577e-1
4.218410e+1,7.875924e-1
4.270841e+1,6.171855e-1
4.323924e+1,1.077046e-1
4.377667e+1,6.666320e-12
4.432077e+1,7.272070e-4
4.487164e+1,2.949622e-2
4.542935e+1,2.969301e-1
4.599400e+1,5.707199e-1
4.656566e+1,3.337481e-2
4.714443e+1,1.455631e-2
4.773039e+1,2.471798e-3
4.832363e+1,4.132115e-2
4.892425e+1,3.855397e-3
4.953234e+1,7.061951e-12
5.014798e+1,1.940385e-1
5.077127e+1,1.933542e-1
5.140231e+1,2.611877e-3
5.204120e+1,3.825622e-1
5.268802e+1,2.798264e-1
5.334289e+1,4.319098e-2
5.400589e+1,5.281310e-1
5.467713e+1,2.797122e-1
5.535672e+1,6.589171e-2
5.604475e+1,1.136613e-2
5.674134e+1,1.109018e-5
5.744658e+1,9.832839e-3
5.816059e+1,4.188209e-3
5.888348e+1,2.329466e-6
5.961534e+1,7.428161e-2
6.035631e+1,1.759417e-1
6.110648e+1,5.136311e-1
6.186598e+1,4.290484e-1
6.263492e+1,1.615414e-1
6.341341e+1,1.024194e-9
6.420158e+1,8.573300e-2
6.499955e+1,1.049349e-6
6.580744e+1,1.953912e-4
6.662536e+1,6.750555e-13
6.745345e+1,3.321826e-3
6.829184e+1,3.170267e-1
6.914064e+1,5.452504e-1
7.000000e+1,7.146231e-1
