Wavelength (μm),Transmission
2.753595e+1,9.999999e-1
2.799856e+1,9.999999e-1
2.846895e+1,9.999999e-1
2.894723e+1,9.999998e-1
2.943356e+1,9.999994e-1
2.992805e+1,9.999989e-1
3.043085e+1,9.999998e-1
3.094210e+1,9.999999e-1
3.146194e+1,9.999996e-1
3.199051e+1,9.999995e-1
3.252796e+1,9.999979e-1
3.307444e+1,9.999985e-1
3.363010e+1,9.999997e-1
3.419510e+1,9.999998e-1
3.476959e+1,1.000000e+0
3.535373e+1,1.000000e+0
3.594768e+1,1.000000e+0
3.655162e+1,1.000000e+0
3.716569e+1,1.000000e+0
3.779009e+1,1.000000e+0
3.842498e+1,1.000000e+0
3.907053e+1,1.000000e+0
3.972693e+1,1.000000e+0
4.039435e+1,1.000000e+0
4.107299e+1,1.000000e+0
4.176303e+1,1.000000e+0
4.246466e+1,1.000000e+0
4.317808e+1,1.000000e+0
4.390349e+1,9.999999e-1
4.464108e+1,1.000000e+0
4.539107e+1,9.999999e-1
4.615365e+1,9.999999e-1
4.692905e+1,1.000000e+0
4.771747e+1,1.000000e+0
4.851914e+1,1.000000e+0
4.933428e+1,1.000000e+0
5.016311e+1,1.000000e+0
5.100587e+1,1.000000e+0
5.186278e+1,9.999999e-1
5.273410e+1,9.999999e-1
5.362005e+1,1.000000e+0
5.452088e+1,9.999999e-1
5.543685e+1,9.999999e-1
5.636821e+1,1.000000e+0
5.731521e+1,1.000000e+0
5.827813e+1,1.000000e+0
5.925722e+1,1.000000e+0
6.025276e+1,1.000000e+0
6.126502e+1,1.000000e+0
6.229430e+1,1.000000e+0
6.334086e+1,1.000000e+0
6.440501e+1,1.000000e+0
6.548703e+1,1.000000e+0
6.658724e+1,1.000000e+0
6.770593e+1,1.000000e+0
6.884341e+1,1.000000e+0
7.000000e+1,1.000000e+0
