Wavelength (μm),Transmission
3.000000e+0,9.998300e-1
3.037287e+0,9.999064e-1
3.075038e+0,9.998580e-1
3.113258e+0,9.977241e-1
3.151953e+0,9.963141e-1
3.191129e+0,9.986968e-1
3.230792e+0,9.952692e-1
3.270947e+0,9.909406e-1
3.311602e+0,9.371537e-1
3.352762e+0,9.947306e-1
3.394434e+0,9.985396e-1
3.436624e+0,9.995238e-1
3.479338e+0,9.998580e-1
3.522583e+0,9.998774e-1
3.566366e+0,9.872563e-1
3.610692e+0,9.822969e-1
3.655570e+0,9.977218e-1
3.701005e+0,9.991397e-1
3.747005e+0,9.996823e-1
3.793577e+0,9.999504e-1
3.840728e+0,9.999837e-1
3.888465e+0,9.999708e-1
3.936795e+0,9.999604e-1
3.985726e+0,9.998568e-1
4.035265e+0,9.999321e-1
4.085419e+0,9.999513e-1
4.136197e+0,9.997761e-1
4.187606e+0,9.998216e-1
4.239655e+0,9.989944e-1
4.292350e+0,9.996392e-1
4.345700e+0,9.995903e-1
4.399713e+0,9.993880e-1
4.454397e+0,9.978894e-1
4.509761e+0,9.951245e-1
4.565813e+0,9.913599e-1
4.622562e+0,9.917891e-1
4.680017e+0,9.909913e-1
4.738185e+0,5.162451e-1
4.797076e+0,6.733689e-1
4.856700e+0,9.527033e-1
4.917064e+0,9.769860e-1
4.978178e+0,9.912928e-1
5.040053e+0,9.980547e-1
5.102696e+0,9.989991e-1
5.166118e+0,9.994842e-1
5.230328e+0,9.995814e-1
5.295336e+0,9.989335e-1
5.361152e+0,9.985704e-1
5.427787e+0,9.931276e-1
5.495249e+0,9.936744e-1
5.563550e+0,9.966601e-1
5.632700e+0,9.962265e-1
5.702709e+0,9.957764e-1
5.773589e+0,9.812319e-1
5.845349e+0,9.788589e-1
5.918002e+0,9.856525e-1
5.991557e+0,9.975624e-1
6.066026e+0,9.997550e-1
6.141422e+0,9.999800e-1
6.217754e+0,9.999999e-1
6.295035e+0,1.000000e+0
6.373276e+0,1.000000e+0
