global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
36,6260.566026,5.772e-32,2339.0644,0.0356,0.8,0.038,5,6,6,4,6,1179,855,307,582,867
36,6264.754944,8.515e-32,2213.3478,0.038,0.8,0.04,5,6,6,4,6,1179,855,307,582,867
36,6266.582626,9.784e-32,2211.5201,0.038,0.8,0.04,5,6,6,4,6,1179,855,307,582,867
36,6267.919736,1.698e-31,1743.155,0.0496,0.84,0.048,5,6,6,4,6,1179,855,307,582,867
36,6270.725706,1.335e-31,2097.0889,0.0404,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6272.571725,1.555e-31,2095.2429,0.0404,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6276.668738,1.951e-31,1992.1165,0.0427,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6278.533493,2.312e-31,1990.2517,0.0427,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6279.435394,1.665e-31,1683.4581,0.0513,0.84,0.05,5,6,6,4,6,1179,855,307,582,867
36,6282.584002,2.646e-31,1898.4477,0.0449,0.83,0.044,5,6,6,4,6,1179,855,307,582,867
36,6284.46805,3.205e-31,1896.5637,0.0449,0.83,0.044,5,6,6,4,6,1179,855,307,582,867
36,6288.471355,3.307e-31,1816.0979,0.0469,0.85,0.046,5,6,6,4,6,1179,855,307,582,867
36,6290.375516,4.123e-31,1814.1937,0.0469,0.85,0.046,5,6,6,4,6,1179,855,307,582,867
36,6290.930198,1.349e-31,1635.1109,0.0533,0.84,0.053,5,6,6,4,6,1179,855,307,582,867
36,6294.33055,3.767e-31,1745.0806,0.0487,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6296.256106,4.884e-31,1743.155,0.0487,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6300.16124,3.832e-31,1685.4073,0.0504,0.84,0.049,5,6,6,4,6,1179,855,307,582,867
36,6302.110369,5.261e-31,1683.4581,0.0504,0.84,0.049,5,6,6,4,6,1179,855,307,582,867
36,6302.408213,7.378e-32,1598.1157,0.0555,0.84,0.056,5,6,6,4,6,1179,855,307,582,867
36,6305.962972,3.342e-31,1637.0878,0.0523,0.84,0.052,5,6,6,4,6,1179,855,307,582,867
36,6307.939858,5.025e-31,1635.1109,0.0523,0.84,0.052,5,6,6,4,6,1179,855,307,582,867
36,6311.735196,2.242e-31,1600.1301,0.0543,0.84,0.054,5,6,6,4,6,1179,855,307,582,867
36,6313.749619,3.992e-31,1598.1157,0.0543,0.84,0.054,5,6,6,4,6,1179,855,307,582,867
36,6317.477256,7.058e-32,1574.5401,0.0568,0.84,0.058,5,6,6,4,6,1179,855,307,582,867
36,6319.562888,1.928e-31,1572.4545,0.0568,0.84,0.058,5,6,6,4,6,1179,855,307,582,867
36,6323.302777,6.618e-32,2479.6468,0.0323,0.78,0.036,4,6,6,4,6,1179,855,307,582,867
36,6323.728571,1.197e-31,2340.874,0.0345,0.8,0.038,5,6,6,4,6,1179,855,307,582,867
